feature,importance
P1_TIT02,0.13435924421131493
P3_LIT01,0.11307555909426664
P1_TIT01,0.0861694540743569
P1_FCV03D,0.07218705519819511
P1_PIT01,0.06887111198265261
P1_FCV02Z,0.04851923173342046
P1_LCV01D,0.046901557612055854
P1_FT01Z,0.04355337178586374
P4_ST_TT01,0.03989634671558717
P1_FT01,0.0395386824425437
P1_PIT02,0.037241945688037945
P1_LIT01,0.03361972080084809
P1_B4005,0.02333852904869083
rolling_max_60,0.02112937517041395
P1_PCV01D,0.019113590617339662
diff_P1_B2016_P1_B4002,0.018798191187948537
rolling_mean_60,0.018532201867264463
median_all_sensors,0.016335823266471674
rolling_mean_30,0.011863459664409876
num_sensors_at_max,0.010419784383330386
std_all_sensors,0.009393103046273247
rolling_max_30,0.009243475551989667
P1_B4022,0.008382477630789528
P1_B3004,0.007081137758300491
mean_all_sensors,0.006886862241025625
rolling_std_60,0.006157011019936871
P4_LD,0.005369634594453721
rolling_min_60,0.005257381738824275
P1_B2016,0.00494682961810518
P3_LCV01D,0.004711788296885184
P1_PCV02Z,0.003636370017985938
P3_FIT01,0.0034996822889904436
min_all_sensors,0.003124685261200464
rolling_std_30,0.0029013050542059473
rolling_std_10,0.002697712706175191
rolling_min_30,0.0026754112197860678
P3_PIT01,0.0024993970315372077
P3_LCP01D,0.002321682093424225
std_diff_2,0.0011774877418934473
std_diff_1,0.0008147884215100301
num_sensors_at_zero,0.0006497019099591135
P1_FCV02D,0.0005962768732611086
mean_diff_2,0.0005448635059758115
P2_VXT03,0.0004926335865584144
mean_diff_1,0.00045509955989023117
P2_VYT03,0.0004426585446493735
P2_VXT02,0.0002155250324682033
P2_VYT02,0.0001357727256049086
P2_SIT01,0.00010560563622904363
mean_roc,5.067113997458905e-05
